Date,Temp,Pres,Fail,N,Erosion,Blowby,Damage
4/12/1981,66,50,0,6,0,0,0
11/12/1981,70,50,1,6,1,0,4
3/22/1982,69,50,0,6,0,0,0
11/11/1982,68,50,0,6,0,0,0
4/4/1983,67,50,0,6,0,0,0
6/18/1983,72,50,0,6,0,0,0
8/30/1983,73,50,0,6,0,0,0
11/28/1983,70,100,0,6,0,0,0
2/3/1984,57,100,1,6,1,0,4
4/6/1984,63,200,1,6,1,0,2
8/30/1984,70,200,1,6,1,0,4
10/5/1984,78,200,0,6,0,0,0
11/8/1984,67,200,0,6,0,0,0
1/24/1985,53,200,2,6,3,2,11
4/12/1985,67,200,0,6,0,0,0
4/29/1985,75,200,0,6,0,0,0
6/17/1985,70,200,0,6,0,0,0
7/29/1985,81,200,0,6,0,0,0
8/27/1985,76,200,0,6,0,0,0
10/3/1985,79,200,0,6,0,0,0
10/30/1985,75,200,2,6,0,2,4
11/26/1985,76,200,0,6,0,0,0
1/12/1986,58,200,1,6,1,0,4
